problemSize	problemNum	lineTypes	boxLimit	boxNum	machineCount	carCount	bufferSize	sortReturns	algType	iterCount	tabuSize	neigbourhoodSize	moveProb	other	best	worst	mean	minIter	maxIter	meanIter
20	4	A		27	6	20	6	true	5	1000	100	1500	0.0	none	2469	2602	2526.1	1039	2735	1371.3
20	4	A		27	6	20	6	true	5	1000	100	1500	0.2	none	2455	2517	2501.2	1053	1635	1170.9
20	4	A		27	6	20	6	true	5	1000	100	1500	0.5	none	2462	2671	2521.6	1032	1412	1162.9
20	4	A		27	6	20	6	true	5	1000	100	1500	0.8	none	2462	2517	2502.0	1019	1540	1193.7
20	4	A		27	6	20	6	true	5	1000	100	1500	1.0	none	2483	2594	2531.8	1017	1285	1096.6
50	2	A		89	8	20	6	true	5	1500	300	1500	0.0	none	4603	4952	4778.8	2490	4632	3330.7
50	2	A		89	8	20	6	true	5	1500	300	1500	0.2	none	4548	4825	4685.8	2101	7668	4497.2
50	2	A		89	8	20	6	true	5	1500	300	1500	0.5	none	4592	4781	4677.7	2030	4655	3134.7
50	2	A		89	8	20	6	true	5	1500	300	1500	0.8	none	4478	4945	4675.6	1875	4888	3150.2
50	2	A		89	8	20	6	true	5	1500	300	1500	1.0	none	4565	4911	4745.2	1788	5583	3176.9
100	1	A		218	8	20	5	true	5	2000	600	1000	0.0	none	9711	10296	10135.1	5735	17322	11688.6
100	1	A		218	8	20	5	true	5	2000	600	1000	0.2	none	9424	10094	9760.9	3814	14419	8681.2
100	1	A		218	8	20	5	true	5	2000	600	1000	0.5	none	9523	10021	9792.0	4115	10195	6857.3
100	1	A		218	8	20	5	true	5	2000	600	1000	0.8	none	9433	10054	9836.4	3667	19047	8237.5
100	1	A		218	8	20	5	true	5	2000	600	1000	1.0	none	9830	10351	10032.2	4297	11562	6021.6
50	2	A		89	8	20	6	false	5	1500	300	8000	0.5	bestStart	4555	4736	4706.3	2537	4955	3352.8
20	4	A		27	6	20	6	false	5	1500	100	1500	0.5	bestStart	2455	2476	2459.2	1592	3059	2037.6
100	1	A		218	8	20	5	false	5	2000	2000	1000	0.5	none	9640	10368	9862.5	4761	12161	8959.3
100	1	A		218	8	20	5	false	5	2000	5000	1000	0.5	none	9509	10043	9759.5	4911	13705	8521.0
100	1	A		218	8	20	5	false	5	2000	10000	1000	0.5	none	9501	9991	9795.6	3783	17905	9405.0
100	1	A		218	8	20	5	false	5	2000	20000	1000	0.5	none	9619	10080	9846.6	4247	11630	7566.8
100	1	A		218	8	20	5	false	5	2000	40000	1000	0.5	none	9536	10044	9799.6	3881	11645	6829.0
50	2	A		89	8	20	6	false	5	300	100	2367	0.5	none	4579	5324	4777.1	473	1438	810.5
50	2	A		89	8	20	6	false	5	1500	300	2367	0.5	none	4554	4788	4651.5	1829	5409	3246.5
100	1	A		218	8	20	5	false	5	2000	600	2168	0.5	none	9586	10023	9812.9	3234	14225	7740.5
200	6	A		346	4	30	6	false	5	3000	1038	5000	0.5	bestStart	27351	27393	27357.3	3454	8092	4861.3
20	1	A	20	20	4	30	6	true	5	1000	60	800	0.5	none	2333	2333	2333.0	1005	1706	1086.0
20	1	A	20	20	6	30	6	true	5	1000	60	800	0.5	none	1859	1859	1859.0	1006	1062	1023.0
50	1	A	50	50	4	30	6	true	5	1000	60	800	0.5	none	3599	3599	3599.0	1001	1002	1001.9
50	1	A	50	50	4	30	6	true	5	1000	150	2500	0.5	none	3599	3599	3599.0	1001	1003	1001.9
100	1	A	100	100	8	30	6	true	5	2000	300	2000	0.5	none	4754	5046	4930.9	2875	9128	5433.1
50	1	A		101	6	20	6	true	5	1500	300	2000	0.5	itemCountBased	5184	5186	5185.1	63	2500	673.7
50	1	A		101	6	20	6	true	5	1500	300	2000	0.5	countBased	5185	5193	5186.1	49	2334	763.8
20	4	A		27	6	20	6	true	5	1000	75	1458	0.5	itemCountBased	2455	2538	2510.9	9	423	136.6
20	4	A		27	6	20	6	true	5	1000	75	1458	0.5	countBased	2455	2524	2485.5	11	1034	361.8
100	1	A		218	8	20	5	true	5	2000	600	1000	0.5	countBased	9670	9956	9801.9	2969	9466	7036.3
100	1	A		218	8	20	5	true	5	2000	600	1000	0.5	itemCountBased	9446	9746	9611.6	2567	12542	7264.7
