problemSize	problemNum	lineTypes	boxLimit	machineCount	carCount	bufferSize	minYes	minNo	maxRat	minRat	avgRat	wrongPointRat
20	4	A		6	30	6	2566	2566	1.0264293419633226	1.0	1.0000000500015762	1.0
50	1	A		6	30	6	5750	5750	1.0428417321621206	0.9854116986954692	1.000007975002263	1.0
20	4	A		6	30	6	2545	2545	1.0261129072370057	1.0	1.0000000541171246	1.0
50	1	A		6	30	6	5779	5779	1.034372074361375	0.9864183702044246	1.0000079907379522	1.0
100	1	A		8	20	5	19584	20095	1.0922612632032767	0.9763981738137942	1.0190355616425355	1.0
200	1	A		8	20	8	35824	37031	1.081095847642835	0.9808191299923683	1.0246487923327905	1.0188421170165252
